seq,name/first,name/last,age,zip,dollar
166,Eugene,Daniel,29,37460,$6045.23
167,Raymond,Hines,29,82465,$9923.27
168,Leon,Tran,41,00064,$9528.77
169,Brent,Casey,30,06024,$7890.95
170,Hilda,Goodwin,37,20323,$5036.86
171,Keith,Graham,44,37329,$8170.12
172,Justin,Roy,51,35750,$7778.58
173,Joshua,Wagner,48,59987,$5904.16
174,Blake,Owen,56,86184,$4655.68
175,Amelia,Lee,59,17238,$825.80
176,Alvin,Griffin,28,44063,$5149.32
177,Georgia,Walsh,47,19627,$5815.74
178,Pearl,Paul,31,98790,$7278.83
179,Caleb,Bradley,31,21913,$9813.06
180,Sophie,Shelton,45,20077,$7897.85
181,Eleanor,Lawson,47,54734,$4632.47
182,Christina,Rivera,46,25359,$1241.04
183,Cory,Cummings,31,16276,$8067.16
184,Betty,Palmer,46,97017,$4801.07
185,Ernest,Abbott,18,53210,$6029.35
186,Edgar,Singleton,59,30777,$6410.39
187,Cecilia,Wheeler,52,57143,$9026.81
188,Johnny,Munoz,40,40101,$1050.84
189,Elva,Jackson,33,60864,$8797.82
190,Michael,Atkins,37,64493,$9183.29
191,Jessie,Williamson,53,95278,$5816.82
192,Gene,Nichols,50,69606,$6499.02
193,Lizzie,Garrett,45,87032,$4003.25
194,Alta,Kennedy,29,29749,$9229.33
195,Cole,Williams,45,65961,$9471.02
196,Travis,Cobb,29,93153,$8617.16
197,Edward,Jensen,33,72291,$2864.46
198,Etta,Salazar,23,82966,$5684.79
199,Martha,Rodriquez,35,56987,$6250.43
200,Eugenia,Marshall,40,75435,$8873.72
201,Leon,Hansen,32,27110,$2502.32
202,Ina,Little,22,47283,$1336.25
203,Herman,Berry,31,16844,$1433.84
204,Jerry,Marsh,55,74549,$1078.63
205,Augusta,Lawrence,37,81457,$125.80
206,Albert,Sandoval,21,45491,$2216.32
207,Martha,Campbell,28,99134,$7433.76
208,Olivia,Sutton,52,99423,$5655.84
209,Jack,Lane,25,98456,$1052.62
210,Myrtle,Matthews,54,29625,$247.56
211,Isabelle,Bryan,26,11213,$2136.43
212,Johanna,Campbell,29,01610,$6228.12
213,Madge,Rivera,26,37521,$496.53
214,Lucille,Erickson,22,95176,$1104.55
215,Sarah,Roberts,51,44841,$6617.29
216,Dora,Goodwin,43,18434,$9181.62
217,Caroline,Freeman,61,27289,$9582.75
218,Lora,Duncan,49,63809,$7134.29
219,Mamie,Blake,46,24324,$3323.41
220,Elmer,Norman,42,91226,$8517.69
221,John,Gardner,38,97561,$6348.76
222,Jennie,Rose,53,53768,$7021.82
223,Vera,Sherman,35,46937,$2847.19
224,Rodney,Morton,34,09210,$3706.86
225,Rosetta,Waters,48,47828,$5014.19
226,Brett,Jensen,64,97915,$6586.51
227,Carlos,Hughes,46,70252,$7184.55
228,Jay,Hayes,41,36848,$1430.05
229,Eric,McLaughlin,30,25590,$5656.12
230,Elijah,Barrett,50,74235,$8469.02
231,Randall,Baldwin,22,79238,$5174.46
232,Matilda,Stewart,57,32971,$6463.11
233,Raymond,Reese,50,06601,$3501.60
234,Nathan,Fowler,34,07565,$4331.90
235,Maggie,Waters,59,57040,$5574.30
236,Sophie,Myers,32,94542,$9130.86
237,Sallie,Cobb,41,38239,$3369.64
238,Dennis,McCormick,52,98471,$133.59
239,Beatrice,Obrien,41,13639,$2940.42
240,Mathilda,Holloway,49,33021,$3276.08
241,Lettie,Goodwin,39,82359,$1294.97
242,Genevieve,Beck,47,53489,$7131.04
243,Alma,Dennis,28,31743,$3288.05
244,Allie,Robertson,42,92939,$9064.29
245,Lora,Gordon,31,83341,$3727.34
246,Abbie,Watts,39,04171,$554.06
247,Pearl,Townsend,34,21280,$608.58
248,Emilie,Thornton,27,92965,$9631.49
249,Adrian,Logan,31,39985,$8948.61
250,Christine,Malone,39,96599,$3449.41
251,Lida,Brown,45,45714,$3996.06
252,Mark,Hansen,31,57353,$6225.88
253,Eunice,Howell,29,94130,$6642.21
254,Aiden,Hansen,23,99707,$4342.62
255,Susan,Jensen,48,87878,$304.65
256,Gene,Peterson,21,94801,$3623.53
257,Matilda,Powell,42,65454,$1067.31
258,Lulu,Turner,43,21102,$3115.74
259,Florence,Obrien,56,41502,$8104.17
260,Adelaide,Wood,62,87131,$9699.23
261,Edith,Stephens,51,99531,$7233.51
262,Harriet,Carr,35,50146,$8471.72
263,Anne,Bell,51,20932,$4359.07
264,Phillip,Morgan,64,35875,$3113.45
265,Ann,Fitzgerald,65,30597,$9986.31
266,Ricardo,Bates,40,71769,$1419.28
267,Howard,Freeman,43,31937,$2429.39
268,Todd,Hammond,24,78655,$9609.29
269,Elva,Smith,65,59623,$2388.92
270,Bryan,Moran,36,69252,$9160.72
271,Evelyn,Ball,47,32287,$3546.39
272,Howard,Lane,57,04432,$9834.51
273,Darrell,Pope,45,29852,$9693.67
274,Dale,Walker,50,43358,$2138.01
275,Brandon,Sandoval,56,96478,$3636.66
276,Danny,Estrada,56,42878,$4734.94
277,Mollie,Martin,41,33930,$9703.17
278,Clyde,Munoz,61,96498,$2945.31
279,Scott,Meyer,53,12718,$128.59
280,Jessie,Barker,27,10483,$8472.25
281,Patrick,Woods,52,09197,$8476.40
282,Effie,Palmer,52,78675,$7662.04
283,Leona,Mathis,26,67052,$1460.94
284,Loretta,Collier,59,10584,$5481.90
285,Lola,Leonard,51,36880,$1058.24
286,Herman,Erickson,28,33077,$500.51
287,Dean,Lynch,19,74679,$5740.57
288,Hester,Parks,61,55581,$9385.30
289,Josephine,Harrison,42,37544,$7792.26
290,Don,Rodriguez,24,82373,$8582.02
291,Nathaniel,Knight,23,91693,$9647.97
292,Jason,Farmer,50,36187,$3742.96
293,Lillian,Waters,49,01564,$4385.92
294,Genevieve,Sullivan,48,37954,$1612.58
295,Sue,Spencer,64,05807,$4590.23
296,Lizzie,Massey,27,00705,$5930.49
297,Blanche,Howell,51,39353,$2202.40
298,Phoebe,Valdez,18,13463,$5027.48
299,Rachel,Fernandez,58,50124,$8227.26
300,Vera,Wells,21,86921,$5242.69
301,Iva,Turner,25,68441,$9489.72
302,Dustin,Bush,19,72892,$5282.15
303,Mae,Thomas,47,82304,$8296.63
304,Lillian,Swanson,61,07955,$1692.52
305,Pauline,Perez,38,18751,$2092.31
306,Ada,McCarthy,65,51860,$5637.68
307,Genevieve,Rose,37,41692,$2619.66
308,Violet,Patterson,44,28609,$3114.41
309,Adeline,Wood,23,71549,$3596.97
310,Scott,Saunders,34,02116,$4024.29
311,Jeff,Johnson,25,39756,$6629.78
312,Genevieve,Banks,25,41428,$3316.88
313,Ophelia,Jacobs,22,37822,$5974.98
314,Evelyn,Cobb,30,15294,$3654.04
315,Ryan,Massey,49,97609,$5208.44
316,Belle,Nelson,59,53500,$2843.40
317,Marian,Alvarez,35,45641,$6459.64
318,Calvin,Curtis,40,42644,$2657.39
319,Carl,Cooper,56,73897,$898.98
320,Georgia,Weaver,33,88729,$5110.06
321,Minerva,Moreno,22,84967,$5253.79
322,Lucille,Roy,21,66813,$609.13
323,Gussie,Silva,63,24920,$968.60
324,Carolyn,Thomas,32,95916,$1973.82
325,Susie,Pope,18,72944,$5058.63
326,Robert,Ramirez,20,36051,$7378.14
327,Dora,Hoffman,53,78258,$9797.50
328,Marion,Estrada,25,76071,$6975.19
329,Caleb,Spencer,57,92150,$733.57
330,Floyd,Crawford,35,59823,$3641.92
331,Roy,Silva,53,84354,$452.07
332,Lettie,Morrison,55,77610,$9210.46
333,Henrietta,Price,60,83097,$8786.47
334,Anthony,Colon,63,09183,$9704.00
335,Lola,Sherman,42,92756,$4375.08
336,Austin,Bowen,29,03849,$8477.26
337,Steve,May,31,73560,$5486.75
338,Henry,Horton,38,44958,$2104.91
339,Herman,Chapman,35,69226,$5209.05
340,Brett,Pearson,35,80946,$9179.06
341,Isabel,Nichols,40,05204,$3875.94
342,Addie,Hale,39,25727,$6998.38
343,Adam,Park,29,24428,$7815.98
344,Eliza,Ray,31,92777,$8372.78
345,Nathan,Moss,50,32763,$1660.65
346,Daniel,Moore,19,77643,$7548.97
347,Lena,Snyder,37,03837,$5814.65
348,Mitchell,Gardner,30,15014,$9685.57
349,Nettie,Pierce,20,88730,$1138.31
350,Mina,Gregory,37,17244,$3133.67
351,Mark,Henderson,36,97238,$7224.52
352,Herman,Garcia,55,04092,$1615.17
353,Aiden,Ryan,31,67155,$3157.66
354,Warren,Patton,25,92792,$5946.58
355,Etta,Ramsey,24,28195,$8457.38
356,Jon,Moran,54,00845,$5738.27
357,Maria,Wise,35,90448,$7102.25
358,Leonard,Singleton,42,45132,$3162.80
359,Ollie,Hart,19,57745,$4122.93
360,Georgie,Harrison,47,52931,$3146.50
361,Jay,Meyer,64,40197,$479.44
362,Christina,Huff,32,69513,$9179.70
363,Paul,Schmidt,21,40436,$7562.36
364,Iva,Harper,35,62211,$4257.39
365,Jonathan,Davidson,31,91154,$2793.19
366,Mabelle,Santos,44,28862,$554.85
367,Nancy,Carpenter,20,40002,$3182.98
368,Evelyn,Alvarado,47,80654,$5011.96
369,Walter,Hopkins,45,62465,$9856.26
370,Carlos,Green,34,04576,$6340.44
371,Birdie,Martin,32,12779,$3810.97
372,Estella,Peterson,23,16526,$6184.92
373,Adelaide,Matthews,51,46453,$8315.65
374,Helena,Gregory,33,88755,$9454.21
375,Rena,Coleman,43,71558,$6686.97
376,Grace,Vargas,29,15642,$3436.88
377,Marcus,Park,35,56448,$9819.85
378,Corey,Leonard,55,78803,$7985.10
379,Edith,Pierce,27,71610,$9513.64
380,Francisco,Collier,63,51648,$9742.18
381,Evan,Roy,41,55690,$1285.87
382,Derek,Weber,19,73554,$4675.71
383,Craig,Mann,58,55915,$4757.75
384,Nannie,Olson,18,71336,$7107.44
385,Lena,Carlson,39,64812,$3632.13
386,Dustin,Garrett,46,41681,$2142.31
387,Anthony,Fitzgerald,43,76283,$2593.74
388,Derrick,Schneider,22,13411,$3144.05
389,Nicholas,Owens,19,50007,$3870.86
390,Devin,Floyd,38,57757,$8268.23
391,Jane,Owens,22,12549,$7545.07
392,Ann,Vasquez,46,78282,$9623.62
393,Timothy,Caldwell,44,36048,$6792.73
394,Blanche,Carpenter,35,24815,$3798.75
395,Dean,Kim,39,78373,$2913.25
396,Floyd,Bell,51,65545,$8215.93
397,Cole,Rose,52,56584,$6103.88
398,Iva,Carr,59,96943,$9854.45
399,Shane,Crawford,64,24531,$3346.40
400,Joshua,Arnold,55,16410,$1086.26
401,Victoria,Grant,22,84736,$5566.46
402,Louise,Shaw,54,60920,$1931.48
403,Inez,Ross,48,47834,$663.49
404,Bertha,Barnes,18,15981,$3793.76
405,Alfred,McDaniel,26,94682,$2404.44
406,Susan,Larson,21,50643,$7801.15
407,Carolyn,Gomez,48,55531,$135.40
408,Edgar,Mann,63,38849,$7984.09
409,Lois,Mann,45,76971,$3237.60
410,Russell,Lindsey,25,06106,$5714.61
411,Joshua,Barber,51,20355,$8927.54
412,Frederick,Lane,28,47814,$2713.91
413,Winnie,Conner,30,96088,$9765.13
414,Susie,Wright,21,16969,$7283.21
415,Vincent,Hunter,22,56981,$4475.07
416,Leila,Hardy,61,95504,$5038.23
417,Charlotte,Barber,29,99063,$3860.77
418,Ida,Bowen,34,19169,$6602.07
419,Brian,Graves,18,78479,$9007.82
420,John,Munoz,46,67511,$4794.82
421,Edith,Lynch,45,60194,$1234.87
422,Eunice,Ortiz,39,13922,$8601.88
423,Evan,Griffin,49,07888,$9212.04
424,Virginia,Nelson,44,58521,$7940.12
425,Sophia,Garner,52,48455,$1189.42
426,Jimmy,Pittman,65,64256,$1121.93
427,Gavin,Anderson,27,64978,$677.55
428,Jerome,Warner,22,77717,$1115.22
429,Lida,Swanson,50,85991,$8970.73
430,Derek,Powers,55,99642,$4730.62
431,Etta,Graham,36,67726,$6594.09
432,Agnes,Wood,44,29628,$3179.34
433,Blake,Carpenter,43,27818,$5441.30
434,Jonathan,Walsh,38,07482,$5842.67
435,Stella,Guzman,27,37641,$1489.39
436,Lester,Boone,51,09582,$4208.72
437,Randall,Maxwell,44,69419,$6060.33
438,Maggie,Garcia,47,15081,$5967.20
439,Lula,Hawkins,25,55028,$2921.18
440,Cora,Cummings,60,73283,$4197.86
441,Darrell,Butler,61,71436,$2031.69
442,Russell,Lowe,42,83875,$8626.15
443,Lilly,Valdez,30,90308,$5753.51
444,Dorothy,Kennedy,41,60942,$5446.31
445,Henrietta,Higgins,56,21238,$5777.96
446,Amanda,Wilkerson,63,82028,$1549.24
447,Blanche,Sanders,23,89553,$3307.90
448,Pauline,Owen,59,24258,$9366.68
449,Jeffery,West,39,03471,$1225.49
450,Austin,Matthews,55,88166,$6120.37
451,Myrtle,Boone,55,80104,$3294.11
452,Hallie,Kelley,59,38653,$6933.46
453,Devin,Terry,47,88832,$5382.59
454,Luella,Osborne,31,37835,$7405.77
455,Catherine,Chandler,22,91544,$5351.10
456,Chase,Erickson,45,49539,$6868.28
457,Marie,Rodriguez,53,57652,$237.13
458,Beatrice,Grant,62,09709,$7829.07
459,Jay,Rodgers,33,36369,$1516.00
460,Mamie,Wolfe,39,69250,$2377.96
461,Clayton,Doyle,29,67270,$9186.74
462,Verna,Murray,48,40024,$2128.50
463,Sara,Luna,32,19135,$8844.39
464,Sue,Gregory,24,37854,$1894.28
465,Lydia,Hernandez,44,40509,$5701.77
466,Richard,Barrett,18,38328,$2055.24
467,Bettie,Casey,19,83690,$7000.71
468,Walter,Garza,31,14343,$4538.33
469,Madge,Horton,46,58038,$1272.82
470,Elijah,Wright,45,36578,$9062.95
471,Brian,Lee,57,67639,$6516.38
472,Elizabeth,Burns,38,17653,$4224.74
473,Floyd,Copeland,53,96829,$7159.83
474,Lawrence,Caldwell,59,30007,$8388.48
475,Luis,Black,23,35513,$934.89
476,Gilbert,Farmer,65,14823,$5190.79
477,Nannie,Bennett,55,17497,$7770.44
478,Elnora,Boyd,58,37826,$8137.09
479,Marian,Santos,42,56450,$9366.73
480,Blanche,Casey,45,94483,$7576.66
481,Jeanette,Rodriquez,39,11094,$3654.42
482,Lois,Mendez,34,73561,$9893.55
483,Louis,Garcia,27,61692,$3631.56
484,Ruby,Ortiz,33,31530,$1382.74
485,Mason,Lane,57,84066,$1068.36
486,Hannah,Chandler,35,19928,$7015.12
487,Terry,Barrett,27,85984,$3168.21
488,Loretta,Briggs,33,97347,$1532.39
489,Alta,Phelps,38,51786,$1226.37
490,Garrett,Harmon,37,28835,$254.20
491,Owen,Cole,49,43119,$9839.81
492,Lettie,Horton,38,61576,$8795.56
493,Maurice,Ray,54,99152,$8369.61
494,Mitchell,Townsend,28,02748,$401.65
495,Georgia,Harper,55,87291,$400.64
496,Luella,Hart,27,39516,$8522.48
497,Gilbert,Ortega,26,53051,$2267.36
498,Clara,French,62,71663,$9538.01
499,Jennie,Kim,45,35624,$6732.63
500,Mamie,Butler,51,86349,$7765.30
501,Lola,Copeland,29,26554,$3256.12
502,Hettie,Park,63,07565,$7516.49
503,Donald,Franklin,37,53262,$48.30
504,Cory,Shelton,62,84497,$7299.93
505,Bessie,Norman,63,32479,$2504.28
506,Linnie,Clayton,59,35706,$1062.14
507,Alejandro,Daniel,49,93033,$5608.27
508,Alice,Armstrong,63,74661,$6112.20
509,Cynthia,Saunders,48,13533,$72.79
510,Myrtle,Griffin,65,24207,$5340.76
511,Edna,Scott,56,57155,$3252.43
512,Eric,Cummings,50,98713,$2160.70
513,Paul,Williamson,27,39044,$7935.08
514,Virginia,Howell,63,86518,$8578.15
515,Alfred,Reeves,55,07133,$5618.50
516,Lottie,Munoz,22,06880,$5913.83
517,Tom,Oliver,57,20255,$5966.60
518,Linnie,Rice,61,88626,$1454.80
519,Sophia,Jackson,32,30209,$9054.22
520,Steve,Fisher,46,81878,$4714.02
521,Bertha,McCarthy,44,85441,$9801.07
522,Glen,Caldwell,43,36449,$7007.34
523,Ruth,Nguyen,44,35160,$5126.86
524,Celia,King,40,95185,$5587.08
525,Dean,Ramirez,18,09225,$2047.89
526,Carolyn,Miles,34,35693,$6030.04
527,Isaiah,Berry,36,26479,$4120.74
528,Zachary,Montgomery,39,87819,$2963.76
529,Cornelia,Floyd,53,73365,$2314.21
530,Alta,Wood,43,76380,$3545.98
531,Patrick,Phelps,46,57414,$9173.26
532,Sally,McDaniel,26,32697,$1945.52
533,Rosalie,Carpenter,25,41108,$297.53
534,Samuel,Guzman,48,87244,$7371.00
535,Ronnie,Barber,32,88595,$7624.60
536,Luke,Bradley,24,91714,$9030.80
537,Lewis,Roberts,65,60092,$4482.82
538,Lawrence,Morton,57,40761,$565.01
539,Julian,Conner,35,59770,$5462.53
540,Donald,Walsh,64,45241,$3562.96
541,Catherine,McDonald,18,38231,$1262.68
542,Clarence,Cohen,40,17678,$9917.53
543,Brandon,Munoz,53,75786,$9022.50
544,Eva,Simmons,57,40620,$7376.58
545,Gary,Jensen,25,08270,$8244.67
546,May,Cobb,42,02326,$8612.16
547,Rosa,Bridges,65,29320,$7906.26
548,Erik,Wilkins,53,45377,$1977.71
549,Betty,Kennedy,57,77029,$4204.91
550,Blake,Singleton,57,22060,$3952.52
551,Dennis,Figueroa,55,11302,$9177.85
552,Kevin,Lane,36,05237,$1658.03
553,Annie,Holt,63,27052,$2036.52
554,Dean,Hines,23,43145,$3165.80
555,Jared,Smith,26,32851,$5044.62
556,Louis,Diaz,59,65354,$5870.77
557,Henrietta,Simmons,25,30800,$5995.82
558,Adam,Allison,54,66649,$1529.08
559,Lucas,Reyes,33,23885,$8610.79
560,Eddie,Robbins,25,14160,$5797.19
561,Ricardo,Snyder,48,61542,$3715.84
562,Hester,Cruz,32,93439,$6198.15
563,Hilda,Brewer,42,12874,$2026.16
564,Alejandro,Williams,25,97280,$3689.64
565,Lucinda,McBride,20,11095,$9269.44
566,Cordelia,Nelson,31,12733,$8233.47
567,Hulda,Miller,58,38997,$8669.95
568,Bertie,Norman,53,16878,$1732.06
569,Adelaide,Baldwin,47,04651,$2809.25
570,Augusta,Frazier,41,27963,$3621.15
571,Ruby,Knight,38,59519,$4292.03
572,Connor,Paul,37,76721,$6517.83
573,Lina,Ross,42,39024,$671.02
574,Jonathan,Watkins,34,30561,$8511.32
575,Lina,Vaughn,38,82815,$6249.59
576,Johnny,Hale,43,47698,$3339.80
577,Ollie,Parker,18,25131,$9783.09
578,Violet,Kelly,34,45818,$742.41
579,Martin,Bowen,32,82007,$1404.57
580,Louise,Rhodes,46,69724,$8407.64
581,Elnora,Powers,29,08714,$4164.49
582,Jose,Schmidt,25,84688,$3674.48
583,Blake,Howard,19,59545,$4096.72
584,Anne,Hunt,30,47421,$925.23
585,Virgie,Lawson,27,65936,$2762.86
586,Adeline,Parsons,20,31112,$6518.25
587,Alice,Becker,31,46401,$8923.72
588,Jean,Herrera,58,94447,$2665.97
589,Estelle,Ruiz,51,22772,$4609.76
590,Barbara,Francis,29,77853,$5994.11
591,Beulah,Sharp,65,17144,$9758.31
592,Hester,Cross,56,34849,$4950.94
593,Verna,Reynolds,31,14801,$8385.51
594,Della,Torres,31,92486,$9936.31
595,Kathryn,Moore,47,53301,$1474.41
596,Henry,Fleming,29,47852,$7195.98
597,Floyd,Parker,36,41626,$3323.21
598,Don,Wilson,25,84533,$3915.53
599,Lottie,Ray,32,06762,$4566.79
600,Rodney,Gonzales,63,92965,$3053.69
601,Caroline,Reed,42,86963,$5046.83
602,Eugene,Santiago,54,99023,$3113.86
603,John,Clarke,25,97601,$8651.77
604,Russell,Hall,24,37065,$9019.44
605,Bertha,Burgess,33,92368,$8648.29
606,Tyler,Evans,49,95503,$7307.00
607,Curtis,Herrera,38,33416,$9124.36
608,Bill,Casey,32,77998,$8785.36
609,Emilie,Luna,60,43029,$6381.99
610,Gordon,Roberts,35,81691,$2004.70
611,Katherine,Barton,31,24841,$3442.83
612,Scott,Stewart,45,01083,$2201.16
613,Gregory,Flores,53,51727,$2098.91
614,Randy,Snyder,45,36478,$6041.42
615,Calvin,Perez,39,07105,$1769.76
616,Dominic,Higgins,60,81302,$1736.11
617,Gertrude,Horton,31,62890,$5268.69
618,Thomas,Aguilar,61,08902,$4938.00
619,Emma,Hill,56,41197,$2097.77
620,Alvin,Buchanan,43,10541,$1134.81
621,Hunter,Gonzales,31,19500,$7364.29
622,Antonio,Gardner,51,24677,$8508.22
623,Willie,Higgins,53,74812,$7651.91
624,Austin,Wolfe,30,94926,$2147.70
625,Jennie,Bradley,36,35504,$4283.57
626,Andre,Barber,55,06143,$7691.21
